521.87	    -1.2595   -0.497011   0.0524264     0.91919    0.239685   -0.312434 -0.00507328           0           0           0	-0.159658  0.103374 0.0219243  -1.57618 -0.473838  -2.14327	 0.00671344   0.0129248 0.000563663  0.00141858  0.00544356 0.000126034  0.00190657           0           0           0
522.07	  -1.25964  -0.499176  0.0545939   0.917042   0.238189  -0.319794 0.00571276          0          0          0	-0.150367  0.104986 0.0179679  -1.57699 -0.476708    -2.137	 0.00673655   0.0129255 0.000572627  0.00140965  0.00542387 0.000144287  0.00193745           0           0           0
523.2	  -0.220253    0.272537   0.0715847    0.913683    0.255844   -0.315649 -0.00965824           0           0           0	    -0.143    0.11929 0.00878319   -1.57269  -0.474038   -2.11627	 0.00459567   0.0074083 0.000619553  0.00150483  0.00537396 6.26401e-05  0.00185766           0           0           0
523.41	  -0.22196   0.272835  0.0709434   0.910602   0.249764  -0.329241 -0.0047454          0          0          0	 -0.141631   0.121948 0.00707629   -1.57189  -0.473542   -2.11242	 0.00459921  0.00740481 0.000627588  0.00146917  0.00535631  3.5461e-05  0.00193695           0           0           0
524.3	 0.843672  0.941442 0.0837436  0.914925   0.25173 -0.315247 0.0127717         0         0         0	   -0.135828     0.133214 -0.000157705     -1.56851    -0.471438     -2.09609	  0.0115616   0.0159033 0.000637458  0.00148086  0.00538219 7.85284e-05  0.00185467           0           0           0
524.55	 0.842691  0.939796 0.0843471  0.909777  0.248369 -0.332247 0.0152082         0         0         0	  -0.134198    0.136379 -0.00218973    -1.56755   -0.470848     -2.0915	  0.0115434   0.0158934 0.000645288  0.00146131  0.00535207   0.0001033  0.00195558           0           0           0
525.5	  1.86973   1.67692 0.0992939  0.908068  0.268197   -0.3214  0.013578         0         0         0	-0.0931053   0.177527 -0.0447286    -1.6086  -0.476996   -2.09319	  0.0199915   0.0272241 0.000661726  0.00158369  0.00536194  8.7721e-05  0.00189867           0           0           0
525.65	  1.86944   1.67711 0.0999025  0.905073  0.266675 -0.330781 0.0176316         0         0         0	-0.0866169   0.184024 -0.0514453   -1.61508  -0.477967   -2.09345	  0.0199939   0.0272211 0.000669246  0.00157483  0.00534448 0.000118882  0.00195473           0           0           0
526.75	  2.87399   2.48124  0.108593  0.858174   0.39886 -0.318987 0.0519148         0         0         0	-0.0868594   0.205086 -0.0349748   -1.54629  -0.465059   -2.15297	  0.0293977   0.0388282 0.000703511   0.0024001   0.0051621 0.000335549  0.00192049           0           0           0
527.01	  2.87434   2.48081  0.107481  0.856697  0.389512 -0.330877 0.0697967         0         0         0	 -0.119545   0.231958 -0.0894539   -1.54276  -0.468443   -2.15573	  0.0293926   0.0388322 0.000710843  0.00235809  0.00518629 0.000423036   0.0020029           0           0           0
527.68	  2.72579   2.84039  0.120068  0.169898  0.934478 -0.134592  0.282437         0         0         0	-0.203772  0.301204 -0.229842  -1.53367 -0.477165  -2.16285	  0.0336524   0.0370944 0.000718532  0.00565753  0.00102861  0.00170999 0.000816333           0           0           0
527.82	  2.72676   2.84439  0.121807  0.173342  0.933609 -0.126627  0.286867         0         0         0	-0.206411   0.29047 -0.225429  -1.53947 -0.480062  -2.15866	     0.0337   0.0371059 0.000725496  0.00567199   0.0010532  0.00174319 0.000772093           0           0           0
528.2	  2.72621   2.84244  0.122075   0.17812   0.92995 -0.133287  0.292747         0         0         0	-0.187423   0.28102 -0.225429  -1.54408 -0.482079  -2.15625	   0.033677   0.0370997  0.00073265  0.00572248  0.00109607  0.00180145 0.000820609           0           0           0
529.15	   1.85993    2.19042   0.143198  -0.246279   0.916652 0.00541857   0.314748          0          0          0	-0.139953  0.257396 -0.225431  -1.55561 -0.487119  -2.15021	  0.0259875   0.0271656  0.00074117   0.0056409  0.00151556  0.00193714 4.05145e-05           0           0           0
529.4	   1.86106    2.19117   0.144471  -0.244062   0.912714 0.00990817   0.327551          0          0          0	-0.127461  0.251179 -0.225431  -1.55865 -0.488446  -2.14862	  0.0259964   0.0271783 0.000747915  0.00561673  0.00150195  0.00201719 8.02361e-05           0           0           0
