826.61	 -1.60058  -2.84547 0.0695208 -0.912889  0.248743  0.282658  0.157689         0         0         0	  0.105929 -0.0600573  0.0249562   0.992817   0.208465    1.47963	  0.0378084   0.0201838 0.000446081  0.00160787  0.00590073  0.00101977  0.00182769           0           0           0
826.85	 -1.59981  -2.84611 0.0708971 -0.898629   0.25287  0.313769   0.17341         0         0         0	  0.108653 -0.0583876  0.0250552   0.992139   0.207035    1.48195	  0.0378169   0.0201741 0.000457199   0.0016347  0.00580875  0.00112227  0.00202945           0           0           0
827.86	 -0.384216   -2.26322  0.0883856  -0.870243  -0.371492   0.319283 -0.0522376          0          0          0	0.0733893 -0.046399 0.0422164   0.99385   0.21005   1.50553	  0.0303119  0.00541362 0.000515495  0.00240452  0.00563155 0.000358978  0.00207401           0           0           0
828.05	 -0.384261   -2.26372  0.0886623  -0.863821  -0.368965   0.338318 -0.0567415          0          0          0	 0.0743541 -0.0487346  0.0365648   0.997327   0.213137    1.50696	  0.0303184   0.0054149 0.000525511  0.00238903  0.00559204  0.00038876  0.00219724           0           0           0
828.99	-0.0175328   -0.97775    0.11026  -0.749058  -0.584606   0.287448  -0.120505          0          0          0	  0.034447 -0.0168527  0.0620155   0.990667   0.212418    1.51164	  0.0140318  0.00359667 0.000607264  0.00379441  0.00486229 0.000794737  0.00187535           0           0           0
829.24	-0.0165438  -0.979338    0.11074   -0.74559  -0.580362   0.299612  -0.132318          0          0          0	 0.0349334 -0.0167203  0.0566283   0.989715   0.204522    1.51361	  0.0140518  0.00360034 0.000615657  0.00377372  0.00484807  0.00086074  0.00194835           0           0           0
830.21	0.0460731  0.301256  0.128555 -0.716083 -0.619876  0.284424 -0.148604         0         0         0	 0.0368205 -0.0162063   0.035726    0.98602   0.173887    1.52129	 0.00575637  0.00383854 0.000626336  0.00403082  0.00465644 0.000967865   0.0018505           0           0           0
830.4	0.0465188  0.300395  0.129002 -0.713144 -0.614469  0.301478 -0.151542         0         0         0	0.00452311 -0.0202524  0.0218891   0.982532   0.171708    1.52413	 0.00575056  0.00384208 0.000634356  0.00399803  0.00464013 0.000991041  0.00196531           0           0           0
831.39	  0.352674    1.37282    0.13407  -0.921935  -0.232848   0.309543 -0.0010557          0          0          0	-0.0299449 -0.0489057  0.0472736   0.985224   0.146828     1.5444	  0.0180017  0.00653403 0.000656579  0.00152197  0.00603182  0.00011596  0.00203734           0           0           0
831.67	    0.351353      1.37358     0.134105    -0.916454    -0.231869     0.326109 -0.000998765            0            0            0	-0.0330092 -0.0549408   0.043788   0.985239   0.143962     1.5498	  0.0180123  0.00652049 0.000664404  0.00152142  0.00601324 2.66112e-05  0.00213988           0           0           0
