1137.68	   2.63918    1.45214 -0.0806761  -0.324346 -0.0624267  -0.938543   0.100193          0          0          0	 -0.033045   -0.64682   0.156444  -0.098299 -0.0200183  0.0752161	  0.154529   0.173152 0.00672994 0.00400442  0.0170556  0.0051768  0.0482683          0          0          0
1138.47	   1.10485     1.3306   -0.09382  -0.294873 -0.0846331  -0.948788   0.075426          0          0          0	 0.340414 -0.590503 -0.911162 -0.270668  0.167286 -0.116074	  0.143478   0.152972 0.00788505 0.00440611  0.0153507 0.00392658  0.0493923          0          0          0
1138.59	   1.10566     1.3301  -0.095406  -0.310502 -0.0860928  -0.943481  0.0775958          0          0          0	 0.397142 -0.581948  -1.07333  -0.29685  0.195737 -0.145131	  0.143434    0.15294 0.00788568 0.00448235  0.0161644 0.00403957  0.0491161          0          0          0
1139.49	-0.153419  0.955331 0.0551439 -0.378947 -0.162056 -0.894923  0.171029         0         0         0	  1.67448 -0.556992  -1.49526  0.704821  0.193134  0.118091	  0.111674   0.239566  0.0108118 0.00939772  0.0207295 0.00945513  0.0484077          0          0          0
1139.8	 -0.140911   0.942692  0.0525357  -0.442762 -0.0820265  -0.885157   0.117181          0          0          0	  1.87268  0.902218  -2.38205   1.05126 0.0936113  0.805517	 0.110679  0.238465 0.0108188 0.0055108 0.0243578 0.0067198 0.0484929         0         0         0
1141.69	  2.30958   -1.0934 -0.461541  0.353543  0.235451  0.781841 -0.456393         0         0         0	  1.84701  -1.54584  -1.66057   1.13606 0.0727574   0.57796	 0.165805  0.191773 0.0299408 0.0153234 0.0213626 0.0286758 0.0497176         0         0         0
1141.93	  2.31816   -1.0976  -0.46401  0.426292  0.179644  0.816926 -0.344434         0         0         0	  1.57238 -0.373776  -2.43206   1.07584 0.0529652  0.535954	 0.166197  0.192458  0.029978 0.0121253 0.0263503 0.0219813 0.0525303         0         0         0
1142.71	  0.791219   -1.44535  -0.157332   0.449505 0.00847062   0.893235 0.00245083          0          0          0	   2.17092   -1.99517   -1.96455   0.972936 -0.0598531   0.413289	  0.202626   0.173593  0.0276038 0.00368144  0.0297498 0.00181901  0.0601361          0          0          0
1142.95	  0.791397   -1.45479  -0.161537     0.4631 -0.0705765   0.878981  0.0891623          0          0          0	   1.44334  -0.712278   -2.45121   0.997205 -0.0778399    0.40248	  0.203669   0.173564   0.027614   0.005381  0.0312562 0.00652376  0.0597246          0          0          0
1143.66	-0.393254 -0.351919  0.213877  0.390328 -0.210849  0.808595  0.386472         0         0         0	   1.86549   -2.24802   -2.01883    1.87465 -0.0289856   0.727388	 0.118479  0.287976 0.0286859 0.0145791  0.027525 0.0272824  0.056613         0         0         0
